2026-05-06 17:38:09.375 | DEBUG | lever | [BEAMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:09.888 | DEBUG | lever | [U1000BONKUSDT] Skip: Symbol not found or not supported
2026-05-06 17:38:10.585 | DEBUG | lever | [PYTHUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:11.285 | DEBUG | lever | [SUPERUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:11.979 | DEBUG | lever | [USTCUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:12.691 | DEBUG | lever | [ONGUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:13.470 | DEBUG | lever | [JTOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:13.980 | DEBUG | lever | [U1000SATSUSDT] Skip: Symbol not found or not supported
2026-05-06 17:38:14.481 | DEBUG | lever | [U1000RATSUSDT] Skip: Symbol not found or not supported
2026-05-06 17:38:15.196 | DEBUG | lever | [ACEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:15.908 | DEBUG | lever | [MOVRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:16.603 | DEBUG | lever | [POWRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:17.300 | DEBUG | lever | [XAIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:18.004 | DEBUG | lever | [WIFUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:18.701 | DEBUG | lever | [MANTAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:19.403 | DEBUG | lever | [ONDOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:20.108 | DEBUG | lever | [UMAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:20.809 | DEBUG | lever | [LSKUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:21.533 | DEBUG | lever | [ALTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:22.225 | DEBUG | lever | [JUPUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:23.029 | DEBUG | lever | [ZETAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:23.740 | DEBUG | lever | [RONUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:24.442 | DEBUG | lever | [DYMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:25.178 | DEBUG | lever | [MAVIAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:25.884 | DEBUG | lever | [PIXELUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:26.580 | DEBUG | lever | [STRKUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:27.290 | DEBUG | lever | [GLMUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:28.105 | DEBUG | lever | [PORTALUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:28.807 | DEBUG | lever | [TONUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:29.513 | DEBUG | lever | [AXLUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:30.402 | DEBUG | lever | [METISUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:31.114 | DEBUG | lever | [AEVOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:31.815 | DEBUG | lever | [VANRYUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:32.518 | DEBUG | lever | [BOMEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:33.218 | DEBUG | lever | [ETHFIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:33.918 | DEBUG | lever | [POPCATUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:34.632 | DEBUG | lever | [WUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:35.345 | DEBUG | lever | [ENAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:36.099 | DEBUG | lever | [TNSRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:36.868 | DEBUG | lever | [SAGAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:37.695 | DEBUG | lever | [TAOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:38.461 | DEBUG | lever | [MERLUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:39.204 | DEBUG | lever | [MEWUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:39.912 | DEBUG | lever | [REZUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:40.747 | DEBUG | lever | [BRETTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:41.455 | DEBUG | lever | [BBUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:42.165 | DEBUG | lever | [PTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:42.874 | DEBUG | lever | [NOTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:43.599 | DEBUG | lever | [TURBOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:44.400 | DEBUG | lever | [IOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:45.168 | DEBUG | lever | [ZKUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:45.890 | DEBUG | lever | [ZROUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:46.594 | DEBUG | lever | [BANANAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:47.315 | DEBUG | lever | [RENDERUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:48.193 | DEBUG | lever | [RAREUSDT] Setup OK: 10x (Cross)
